contrast,odds.ratio,SE,df,null,z.ratio,p.value
(gpt-4.1-mini) / o3,0.14857399249911524,0.009859229603592076,Inf,1,-28.732660602085097,5.2212596783884536e-180
(gpt-4.1-mini) / (o4-mini),0.09748015636046314,0.007061707798525969,Inf,1,-32.1372941042366,4.9182522956333485e-225
(gpt-5) / (gpt-5-mini),1.3063973932482513,0.09970266969886944,Inf,1,3.5020636934060057,0.0023083461921581654
(gpt-5) / (gpt-5-nano),1.675286702381665,0.1246646705441922,Inf,1,6.9339746364839945,4.910136565712736e-11
(gpt-5) / (mistral-medium-2505),33.53092473795722,2.2820926981841168,Inf,1,51.608904811082134,0
(gpt-5) / o3,1.0250393539559752,0.08052545491878771,Inf,1,0.31481044589107227,1
(gpt-5) / (o4-mini),0.6725335626950432,0.05609455585869399,Inf,1,-4.756188076307897,1.1836961011248654e-5
(gpt-5-mini) / (gpt-5-nano),1.2823714369302288,0.09190335309118695,Inf,1,3.4703842076261116,0.0023083461921581654
(gpt-5-mini) / (mistral-medium-2505),25.66671130182317,1.662199310776936,Inf,1,50.11040454853507,0
(gpt-5-mini) / o3,0.7846305873339948,0.05966990437798555,Inf,1,-3.189314260787371,0.004278322536460079
(gpt-5-mini) / (o4-mini),0.5148001413435486,0.04177793624784978,Inf,1,-8.181716032974109,3.917618162293245e-15
(gpt-5-nano) / (mistral-medium-2505),20.015036644347564,1.2435628429887462,Inf,1,48.228148553509705,0
(gpt-5-nano) / o3,0.6118590641821079,0.04535300412583624,Inf,1,-6.627516666078263,3.413811041877798e-10
(gpt-5-nano) / (o4-mini),0.40144386136351373,0.0318810116672964,Inf,1,-11.492509372210082,2.4458074695965384e-29
(mistral-medium-2505) / o3,0.030569969720984882,0.0020702745128710533,Inf,1,-51.5004256222337,0
(mistral-medium-2505) / (o4-mini),0.02005711348407075,0.001481675852603271,Inf,1,-52.91757591858007,0
o3 / (o4-mini),0.6561051145007337,0.05457220230463572,Inf,1,-5.066776977296031,3.641470735205723e-6
